rank,ticker,name,category,expiry,strike,dte,strike_zone,bid,ask,mid,spread_pct,iv,open_interest,volume,delta,delta_estimated,moneyness,final_score,confidence,confidence_label,thesis,thirteen_f,market,options,catalyst,risk_penalty,is_event_trade,reasons_against,data_flags,paper_recommendation
1,NVDA,NVIDIA Corp,semiconductors,2026-09-22,206.2,90,near_the_money,31.78,34.07,32.925,0.0696,0.7892,4297,1501,0.5877,False,0.9998,8.08,1.0,high,8.62,8.86,6.5,10.0,6.0,0.0,True,,source:fixture,PAPER ONLY — never auto-traded. Event/IV trade — paper-test around earnings; expect IV crush risk.
2,NVDA,NVIDIA Corp,semiconductors,2026-09-22,216.6,90,slightly_otm,25.85,27.51,26.68,0.0622,0.739,8966,1508,0.5307,True,1.0502,8.08,1.0,high,8.62,8.86,6.5,10.0,6.0,0.0,True,,source:fixture,PAPER ONLY — never auto-traded. Event/IV trade — paper-test around earnings; expect IV crush risk.
3,NVDA,NVIDIA Corp,semiconductors,2026-09-22,226.9,90,slightly_otm,19.45,19.93,19.69,0.0244,0.6579,2520,742,0.4607,True,1.1001,8.08,1.0,high,8.62,8.86,6.5,10.0,6.0,0.0,True,,source:fixture,PAPER ONLY — never auto-traded. Event/IV trade — paper-test around earnings; expect IV crush risk.
4,NVDA,NVIDIA Corp,semiconductors,2026-09-22,247.5,90,longer_dated_otm,14.4,15.26,14.83,0.058,0.6844,1192,654,0.3679,True,1.2,8.08,1.0,high,8.62,8.86,6.5,10.0,6.0,0.0,True,,source:fixture,PAPER ONLY — never auto-traded. Event/IV trade — paper-test around earnings; expect IV crush risk.
5,NVDA,NVIDIA Corp,semiconductors,2026-11-06,206.2,135,near_the_money,39.53,40.74,40.135,0.0301,0.7841,7101,1653,0.6064,True,0.9998,8.08,1.0,high,8.62,8.86,6.5,10.0,6.0,0.0,True,,source:fixture,PAPER ONLY — never auto-traded. Event/IV trade — paper-test around earnings; expect IV crush risk.
6,NVDA,NVIDIA Corp,semiconductors,2026-11-06,226.9,135,slightly_otm,29.24,31.38,30.31,0.0706,0.7421,5680,1711,0.5187,True,1.1001,8.08,1.0,high,8.62,8.86,6.5,10.0,6.0,0.0,True,,source:fixture,PAPER ONLY — never auto-traded. Event/IV trade — paper-test around earnings; expect IV crush risk.
7,NVDA,NVIDIA Corp,semiconductors,2026-11-06,247.5,135,longer_dated_otm,24.52,25.49,25.005,0.0388,0.7613,2320,102,0.4482,True,1.2,8.08,1.0,high,8.62,8.86,6.5,10.0,6.0,0.0,True,,source:fixture,PAPER ONLY — never auto-traded. Event/IV trade — paper-test around earnings; expect IV crush risk.
8,NVDA,NVIDIA Corp,semiconductors,2026-12-21,206.2,180,near_the_money,39.94,43.05,41.495,0.0749,0.696,7178,1086,0.6123,True,0.9998,8.08,1.0,high,8.62,8.86,6.5,10.0,6.0,0.0,True,,source:fixture,PAPER ONLY — never auto-traded. Event/IV trade — paper-test around earnings; expect IV crush risk.
9,NVDA,NVIDIA Corp,semiconductors,2026-12-21,226.9,180,slightly_otm,32.6,34.07,33.335,0.0441,0.6886,5946,2233,0.534,True,1.1001,8.08,1.0,high,8.62,8.86,6.5,10.0,6.0,0.0,True,,source:fixture,PAPER ONLY — never auto-traded. Event/IV trade — paper-test around earnings; expect IV crush risk.
10,NVDA,NVIDIA Corp,semiconductors,2026-12-21,247.5,180,longer_dated_otm,26.33,27.01,26.67,0.0255,0.6825,9086,1175,0.4603,True,1.2,8.08,1.0,high,8.62,8.86,6.5,10.0,6.0,0.0,True,,source:fixture,PAPER ONLY — never auto-traded. Event/IV trade — paper-test around earnings; expect IV crush risk.
11,NVDA,NVIDIA Corp,semiconductors,2026-08-08,216.6,45,slightly_otm,16.73,17.91,17.32,0.0681,0.7349,8443,51,0.4834,True,1.0502,7.99,1.0,high,8.62,8.86,6.5,9.5,6.0,0.0,True,45 DTE outside preferred 60-180,source:fixture,PAPER ONLY — never auto-traded. Event/IV trade — paper-test around earnings; expect IV crush risk.
12,NVDA,NVIDIA Corp,semiconductors,2026-08-08,226.9,45,slightly_otm,13.64,14.73,14.185,0.0768,0.7503,3599,414,0.4161,True,1.1001,7.99,1.0,high,8.62,8.86,6.5,9.5,6.0,0.0,True,45 DTE outside preferred 60-180,source:fixture,PAPER ONLY — never auto-traded. Event/IV trade — paper-test around earnings; expect IV crush risk.
13,NVDA,NVIDIA Corp,semiconductors,2026-11-06,216.6,135,slightly_otm,33.23,35.98,34.605,0.0795,0.7547,1979,1003,0.5616,True,1.0502,7.99,1.0,high,8.62,8.86,6.5,9.5,6.0,0.0,True,,source:fixture,PAPER ONLY — never auto-traded. Event/IV trade — paper-test around earnings; expect IV crush risk.
14,NVDA,NVIDIA Corp,semiconductors,2026-12-21,216.6,180,slightly_otm,37.54,39.61,38.575,0.0537,0.7164,2995,664,0.5767,True,1.0502,7.99,1.0,high,8.62,8.86,6.5,9.5,6.0,0.0,True,,source:fixture,PAPER ONLY — never auto-traded. Event/IV trade — paper-test around earnings; expect IV crush risk.
15,NVDA,NVIDIA Corp,semiconductors,2026-08-08,206.2,45,near_the_money,19.74,20.41,20.075,0.0334,0.6796,7120,1482,0.5561,True,0.9998,7.81,1.0,high,8.62,8.86,6.5,8.5,6.0,0.0,True,45 DTE outside preferred 60-180,source:fixture,PAPER ONLY — never auto-traded. Event/IV trade — paper-test around earnings; expect IV crush risk.
16,NVDA,NVIDIA Corp,semiconductors,2026-08-08,247.5,45,longer_dated_otm,7.3,7.84,7.57,0.0713,0.6991,1120,247,0.2743,True,1.2,7.72,1.0,high,8.62,8.86,6.5,8.0,6.0,0.0,True,45 DTE outside preferred 60-180 | aggressive OTM strike on short tenor,source:fixture,PAPER ONLY — never auto-traded. Event/IV trade — paper-test around earnings; expect IV crush risk.
17,AVGO,Broadcom Inc,semiconductors,2026-09-22,199.0,90,near_the_money,23.72,25.44,24.58,0.07,0.6031,8844,1344,0.5727,False,0.9998,7.43,1.0,high,8.07,3.08,9.0,10.0,6.0,0.0,True,RSI 88 overbought,source:fixture,PAPER ONLY — never auto-traded. Event/IV trade — paper-test around earnings; expect IV crush risk.
18,AVGO,Broadcom Inc,semiconductors,2026-09-22,209.0,90,slightly_otm,18.74,19.47,19.105,0.0382,0.57,1654,325,0.5015,True,1.05,7.43,1.0,high,8.07,3.08,9.0,10.0,6.0,0.0,True,RSI 88 overbought,source:fixture,PAPER ONLY — never auto-traded. Event/IV trade — paper-test around earnings; expect IV crush risk.
19,AVGO,Broadcom Inc,semiconductors,2026-09-22,218.9,90,slightly_otm,16.32,17.57,16.945,0.0738,0.6048,7226,1940,0.4468,True,1.0998,7.43,1.0,high,8.07,3.08,9.0,10.0,6.0,0.0,True,RSI 88 overbought,source:fixture,PAPER ONLY — never auto-traded. Event/IV trade — paper-test around earnings; expect IV crush risk.
20,AVGO,Broadcom Inc,semiconductors,2026-09-22,238.8,90,longer_dated_otm,8.44,9.02,8.73,0.0664,0.529,2264,236,0.3,True,1.1998,7.43,1.0,high,8.07,3.08,9.0,10.0,6.0,0.0,True,RSI 88 overbought,source:fixture,PAPER ONLY — never auto-traded. Event/IV trade — paper-test around earnings; expect IV crush risk.
21,AVGO,Broadcom Inc,semiconductors,2026-11-06,199.0,135,near_the_money,29.45,31.54,30.495,0.0685,0.6082,8473,2380,0.5892,True,0.9998,7.43,1.0,high,8.07,3.08,9.0,10.0,6.0,0.0,True,RSI 88 overbought,source:fixture,PAPER ONLY — never auto-traded. Event/IV trade — paper-test around earnings; expect IV crush risk.
22,AVGO,Broadcom Inc,semiconductors,2026-11-06,209.0,135,slightly_otm,25.61,26.66,26.135,0.0402,0.6029,537,1734,0.5361,True,1.05,7.43,1.0,high,8.07,3.08,9.0,10.0,6.0,0.0,True,RSI 88 overbought,source:fixture,PAPER ONLY — never auto-traded. Event/IV trade — paper-test around earnings; expect IV crush risk.
23,AVGO,Broadcom Inc,semiconductors,2026-11-06,218.9,135,slightly_otm,22.03,23.6,22.815,0.0688,0.6083,7279,1948,0.4872,True,1.0998,7.43,1.0,high,8.07,3.08,9.0,10.0,6.0,0.0,True,RSI 88 overbought,source:fixture,PAPER ONLY — never auto-traded. Event/IV trade — paper-test around earnings; expect IV crush risk.
